word;relative_frequency;corpus_commonality
floppy;2.5000;2
roundabout;5.2500;4
Babar;2.5000;2
whoosh;10.5000;2
brave;3.5000;2
ghost;5.6667;3
magic;5.3333;6
along;21.7500;4
horrible;19.0000;3
Daddy_Daddy;3.0000;2
shed;21.6667;3
awake;13.3333;3
wide;2.0000;3
marble;1.0000;2
oven;13.0000;2
molie;1.0000;1
deer;24.5000;2
steal;7.0000;3
hump;1.0000;1
wool;4.5000;2
sharp;4.2000;5
yourself;6.0000;5
highchair;2.0000;1
beaker;2.3333;3
quite;16.6667;3
iron;6.0000;3
Wonderland;1.0000;1
Playdays;7.5000;2
crown;6.3333;3
scratch;4.6000;5
nibble;9.0000;2
quacky;1.0000;1
Notts_Tots;2.0000;2
Gos;3.0000;1
dip;2.3333;3
fourteen;7.5000;4
beetle;3.3333;3
Goldilocks;2.4000;5
Mister;5.2000;5
Mr_Penguin;2.0000;1
week;17.4000;5
Joshua;2.0000;1
Billy_Blake;1.0000;1
Rusty;1.6667;3
Ears;1.0000;1
wallet;1.0000;2
mole;7.0000;2
sixteen;4.0000;4
glen;2.0000;2
strong;6.0000;5
sail;2.3333;3
Row_the_boat;1.0000;1
bubbly;6.0000;2
lemonade;12.0000;3
Tots_tv;10.5000;2
seatbelt;2.5000;2
Eve;7.0000;2
Daniel;9.0000;4
age;2.2500;4
igloo;5.5000;2
p;10.2000;5
queen;4.5000;2
twoo;1.0000;1
Aran;6.0000;2
splat;2.5000;2
card;11.8000;5
flash;4.5000;2
replace;1.0000;1
pipe;5.0000;4
burst;11.6667;3
runaway;5.0000;2
eensie;8.6667;3
gun;7.8000;5
might;27.6000;5
hiccup;4.7500;4
cutter;9.0000;2
Goggle;1.5000;2
repair;7.0000;1
dingding;6.0000;1
search;2.0000;1
hose;3.5000;4
Nicola;17.0000;2
send;4.7500;4
undo;7.3333;3
brace;2.0000;2
b;25.3333;6
drum;7.2500;4
Gumdrop;12.5000;2
knicks;1.0000;1
fruit;8.6667;3
lawnmower;6.0000;2
Mar_mar;1.0000;1
hook;13.3333;3
beanbag;4.5000;2
Syrup;3.5000;2
whack;4.0000;2
